transaction_id,sender_id,receiver_id,tx_type,amount,timestamp,is_fraud,fraud_scenario
TX_dfcf2da1,U_2a1763,A_2120ca,WITHDRAWAL,8963.57,2026-03-08 03:53:00,0,Normal
TX_36068e5e,I_FULIZA,U_469e81,LOAN_DISBURSEMENT,956.01,2026-03-04 09:38:00,0,Normal
TX_2f18de87,U_484b3d,U_4ee537,P2P_TRANSFER,2790.01,2026-03-13 21:58:00,0,Normal
TX_1b2ff962,U_a37fc3,A_21762b,PAYMENT,622.8,2026-03-14 16:00:00,0,Normal
TX_75bbc770,U_573e8d,U_8fb56d,P2P_TRANSFER,427.96,2026-03-07 07:04:00,0,Normal
TX_c4192dac,U_f8ad68,A_84f797,WITHDRAWAL,9770.1,2026-03-12 01:00:00,0,Normal
TX_70d9050e,U_c7b1d2,U_106ad0,P2P_TRANSFER,4272.32,2026-03-10 18:04:00,0,Normal
TX_282e9ac5,U_fb99b0,A_e294ae,PAYMENT,13372.2,2026-03-09 09:06:00,0,Normal
TX_1cce5fbc,U_8c842b,A_60bb42,WITHDRAWAL,12765.04,2026-03-04 04:18:00,0,Normal
TX_34d68f06,U_534f0f,U_ae5621,P2P_TRANSFER,390.77,2026-03-03 21:38:00,0,Normal
TX_82651384,U_bbe25e,A_3b11f5,PAYMENT,14770.9,2026-03-04 00:44:00,0,Normal
TX_cbec036a,U_987d93,U_9b3738,P2P_TRANSFER,14249.26,2026-03-05 06:53:00,0,Normal
TX_92219ca2,U_e7b32b,A_460826,WITHDRAWAL,8816.6,2026-03-05 16:04:00,0,Normal
TX_1cc3a3f3,U_a19b39,A_b94629,WITHDRAWAL,8389.02,2026-03-07 18:32:00,0,Normal
TX_606707e1,U_5c9043,A_721c42,PAYMENT,5251.94,2026-03-13 15:22:00,0,Normal
TX_a46b1fed,U_ddc557,U_74e259,P2P_TRANSFER,434.5,2026-03-05 13:41:00,0,Normal
TX_f7490bc5,U_2cacf5,A_85bdee,WITHDRAWAL,8574.5,2026-03-14 10:13:00,0,Normal
TX_efc02aed,U_2857cd,U_33e738,P2P_TRANSFER,2805.33,2026-03-04 12:10:00,0,Normal
TX_9a874e78,U_16b66e,U_978e61,P2P_TRANSFER,2307.01,2026-03-14 17:28:00,0,Normal
TX_57a9d0c1,U_8a592e,U_55f890,P2P_TRANSFER,5485.05,2026-03-12 14:01:00,0,Normal
TX_3926d134,U_f5cd71,A_b8d21b,WITHDRAWAL,9047.22,2026-03-03 00:47:00,0,Normal
TX_0f22e72d,I_FULIZA,U_c5a0b7,LOAN_DISBURSEMENT,12905.08,2026-03-13 01:35:00,0,Normal
TX_996a518b,U_72aa74,U_dd2a02,P2P_TRANSFER,13901.87,2026-03-06 02:50:00,0,Normal
TX_50fe511b,U_b3ba42,U_3d0044,P2P_TRANSFER,14358.19,2026-03-12 11:13:00,0,Normal
TX_d5a5ab8c,U_833c3f,U_2eadd5,P2P_TRANSFER,9149.86,2026-03-07 02:59:00,0,Normal
TX_ab8d5df1,U_11d447,U_b3d869,P2P_TRANSFER,8748.18,2026-03-04 23:24:00,0,Normal
TX_a3912e54,U_4afdc6,A_92e681,PAYMENT,11067.99,2026-03-05 17:34:00,0,Normal
TX_fd0198dd,U_680258,U_87b85c,P2P_TRANSFER,10939.65,2026-03-05 03:09:00,0,Normal
TX_923f64a5,U_baf1be,A_e6837e,WITHDRAWAL,5154.56,2026-03-12 20:40:00,0,Normal
TX_e866c568,I_MSHWARI,U_a731ca,LOAN_DISBURSEMENT,13215.3,2026-03-02 12:45:00,0,Normal
TX_170b5e40,U_9353ac,U_0ce33a,P2P_TRANSFER,1427.8,2026-03-01 12:16:00,0,Normal
TX_5569facf,U_34e33c,U_f9272b,P2P_TRANSFER,11380.26,2026-03-02 09:52:00,0,Normal
TX_1a407f22,U_7a3244,U_abac4c,P2P_TRANSFER,11023.4,2026-03-01 17:03:00,0,Normal
TX_59151dff,U_d3146e,U_374003,P2P_TRANSFER,12046.47,2026-03-12 21:55:00,0,Normal
TX_34d9bd35,U_0b116c,U_02e298,P2P_TRANSFER,6745.17,2026-03-03 19:30:00,0,Normal
TX_3880a226,U_995692,A_abd9ce,PAYMENT,5505.42,2026-03-09 06:50:00,0,Normal
TX_b6b53cc8,U_4621c2,U_d3c1d4,P2P_TRANSFER,1106.34,2026-03-01 21:22:00,0,Normal
TX_05838a54,U_83265d,A_34d5d8,PAYMENT,5856.01,2026-03-11 00:27:00,0,Normal
TX_f40f8c66,U_dc28cc,A_26db48,PAYMENT,14019.63,2026-03-03 13:05:00,0,Normal
TX_1b58690a,U_8e800e,A_85bdee,WITHDRAWAL,5056.45,2026-03-13 15:11:00,0,Normal
TX_b848a826,U_565c48,U_98ef49,P2P_TRANSFER,13833.96,2026-03-01 19:20:00,0,Normal
TX_f895efa6,I_MSHWARI,U_4c3de3,LOAN_DISBURSEMENT,6758.57,2026-03-06 15:49:00,0,Normal
TX_d558c59d,U_1e272d,A_d5a32f,WITHDRAWAL,6271.94,2026-03-06 12:11:00,0,Normal
TX_35b1b0bf,U_9ff615,U_5e585a,P2P_TRANSFER,3417.83,2026-03-14 01:21:00,0,Normal
TX_58324d19,U_0b3786,A_290ec0,PAYMENT,9510.3,2026-03-06 04:49:00,0,Normal
TX_d677f3eb,U_e47570,A_c63f88,PAYMENT,8199.75,2026-03-09 17:45:00,0,Normal
TX_484a8edd,U_5fc63e,A_5b7757,PAYMENT,10777.6,2026-03-10 17:55:00,0,Normal
TX_4f3ada21,U_bddcc2,U_8b791a,P2P_TRANSFER,14758.7,2026-03-03 23:03:00,0,Normal
TX_c4f4fd4c,U_f4a371,A_e92c45,WITHDRAWAL,3284.75,2026-03-14 03:14:00,0,Normal
TX_f0e7ec9c,U_e9c452,A_fb74c3,WITHDRAWAL,14833.26,2026-03-02 02:20:00,0,Normal
TX_cb4b5305,U_9b339a,A_abd9ce,PAYMENT,8613.44,2026-03-03 10:21:00,0,Normal
TX_eacc5606,U_4348d8,A_a115b1,PAYMENT,13820.8,2026-03-02 19:30:00,0,Normal
TX_d084c95f,U_9ade29,U_23cfeb,P2P_TRANSFER,12590.97,2026-03-11 15:49:00,0,Normal
TX_21b46607,U_dfdfee,A_88e931,WITHDRAWAL,13792.36,2026-03-14 04:25:00,0,Normal
TX_60d1e7be,U_e614c2,U_c35226,P2P_TRANSFER,10848.02,2026-03-03 14:07:00,0,Normal
TX_81d0af9b,U_5f2b0d,A_c1544d,PAYMENT,7827.61,2026-03-14 18:49:00,0,Normal
TX_e110cc67,U_b985df,A_3d171d,WITHDRAWAL,1035.07,2026-03-09 19:37:00,0,Normal
TX_a07ce824,U_6246b8,U_7355c3,P2P_TRANSFER,1338.82,2026-03-11 17:54:00,0,Normal
TX_7ac77299,U_f55d97,A_2ad9ea,PAYMENT,3305.06,2026-03-03 21:02:00,0,Normal
TX_585b4080,U_de992c,A_1f7c54,PAYMENT,2360.3,2026-03-14 10:36:00,0,Normal
TX_b448e558,U_a62eb8,A_eb8d6f,WITHDRAWAL,3542.42,2026-03-12 05:07:00,0,Normal
TX_83e2bf9d,U_243932,U_4a3f1b,P2P_TRANSFER,10317.49,2026-03-02 16:34:00,0,Normal
TX_15ed81d8,I_FULIZA,U_c30db2,LOAN_DISBURSEMENT,11027.6,2026-03-02 15:33:00,0,Normal
TX_037c5196,U_696614,A_fdf4d3,WITHDRAWAL,1237.43,2026-03-06 17:10:00,0,Normal
TX_70bddd10,U_48505f,U_be631f,P2P_TRANSFER,168.41,2026-03-10 22:37:00,0,Normal
TX_15fd7c45,U_7ec1f2,A_3b0202,WITHDRAWAL,10504.97,2026-03-05 06:15:00,0,Normal
TX_eacf15a5,U_98c494,A_7edd30,WITHDRAWAL,4668.4,2026-03-10 10:24:00,0,Normal
TX_5409539a,U_8bbc03,A_bca0c2,PAYMENT,2239.19,2026-03-11 05:38:00,0,Normal
TX_1ead4124,U_a1794c,A_79cdc0,WITHDRAWAL,5969.06,2026-03-05 15:29:00,0,Normal
TX_bfc24a0c,U_07cefc,U_c6c7b5,P2P_TRANSFER,14739.81,2026-03-03 16:26:00,0,Normal
TX_94b22625,U_875523,U_a0a4c8,P2P_TRANSFER,5991.62,2026-03-03 05:33:00,0,Normal
TX_4b1630c9,U_8aee3d,A_e6837e,WITHDRAWAL,6812.93,2026-03-04 05:05:00,0,Normal
TX_ac213587,U_7f6e13,A_dd753f,PAYMENT,8690.43,2026-03-09 08:28:00,0,Normal
TX_8a734eb1,I_FULIZA,U_d40e9e,LOAN_DISBURSEMENT,13995.98,2026-03-01 22:06:00,0,Normal
TX_fbaf329d,U_e7e865,U_2bcd86,P2P_TRANSFER,7282.17,2026-03-05 23:25:00,0,Normal
TX_3913b1e6,U_eee4e7,A_e0ce2f,PAYMENT,6056.59,2026-03-06 02:55:00,0,Normal
TX_47b46033,I_FULIZA,U_b26fcc,LOAN_DISBURSEMENT,14549.33,2026-03-01 23:24:00,0,Normal
TX_03edb744,U_81b9f1,U_7354a3,P2P_TRANSFER,9610.53,2026-03-07 09:21:00,0,Normal
TX_e74733cd,I_FULIZA,U_54fcfb,LOAN_DISBURSEMENT,11512.13,2026-03-08 07:03:00,0,Normal
TX_6835678b,U_ffbec0,A_3ffac6,PAYMENT,9266.76,2026-03-09 14:08:00,0,Normal
TX_d5c9c16d,U_2fe969,U_8e27ed,P2P_TRANSFER,4899.1,2026-03-14 00:17:00,0,Normal
TX_47aded50,U_fc2394,A_922cd9,PAYMENT,9409.14,2026-03-02 16:30:00,0,Normal
TX_f27a4175,U_a746d2,U_ac4f40,P2P_TRANSFER,10901.2,2026-03-12 17:57:00,0,Normal
TX_020f77e4,I_MSHWARI,U_337574,LOAN_DISBURSEMENT,10843.76,2026-03-11 16:19:00,0,Normal
TX_c7d6317e,U_6c5c9a,A_3ffac6,PAYMENT,14378.52,2026-03-02 05:17:00,0,Normal
TX_6f13f645,U_3e78d5,A_564fad,WITHDRAWAL,13432.8,2026-03-06 10:50:00,0,Normal
TX_21f2a10e,U_936b2b,A_721c42,PAYMENT,8273.78,2026-03-08 05:41:00,0,Normal
TX_80ddd06c,U_28830b,A_39d982,PAYMENT,10603.52,2026-03-14 07:50:00,0,Normal
TX_3c462eeb,U_3aa2a9,U_44965e,P2P_TRANSFER,11586.43,2026-03-10 06:41:00,0,Normal
TX_970bd6a8,U_0b11f6,U_849956,P2P_TRANSFER,12072.12,2026-03-14 08:38:00,0,Normal
TX_e429a6a7,U_1c1274,A_7b65a5,PAYMENT,13682.15,2026-03-09 04:15:00,0,Normal
TX_f5751a72,U_9b339a,A_2d7045,WITHDRAWAL,14988.58,2026-03-07 13:36:00,0,Normal
TX_522ac8bf,U_a19b39,U_243932,P2P_TRANSFER,3228.8,2026-03-05 16:13:00,0,Normal
TX_e37078ed,I_FULIZA,U_4a25a8,LOAN_DISBURSEMENT,633.14,2026-03-10 13:08:00,0,Normal
TX_4166c0fe,U_ded362,U_9a09fa,P2P_TRANSFER,12854.18,2026-03-11 10:01:00,0,Normal
TX_a9731873,I_FULIZA,U_4ebe2e,LOAN_DISBURSEMENT,1673.91,2026-03-12 12:38:00,0,Normal
TX_99c0d9bc,U_be683c,A_26986b,PAYMENT,6960.98,2026-03-14 07:17:00,0,Normal
TX_0988a308,U_81574e,U_61da62,P2P_TRANSFER,2000.05,2026-03-02 18:38:00,0,Normal
TX_b96018f0,I_FULIZA,U_a4ff15,LOAN_DISBURSEMENT,12668.48,2026-03-13 15:31:00,0,Normal
TX_144f5f7a,U_5beb46,A_590f81,PAYMENT,1078.73,2026-03-07 15:55:00,0,Normal
TX_3dbe4b47,U_5af547,U_750f31,P2P_TRANSFER,6141.77,2026-03-09 22:43:00,0,Normal
TX_9c0d4d4c,U_f9c955,A_41bc3b,PAYMENT,202.24,2026-03-10 18:44:00,0,Normal
TX_5b15b82e,U_e14046,U_890498,P2P_TRANSFER,6305.58,2026-03-08 09:20:00,0,Normal
TX_fcbc1508,U_230aaa,A_c1544d,PAYMENT,621.45,2026-03-06 08:50:00,0,Normal
TX_2dcfc82e,U_5fc108,A_703bbe,PAYMENT,11503.65,2026-03-10 22:49:00,0,Normal
TX_6b8677ee,U_229b9b,A_c79209,PAYMENT,10465.34,2026-03-13 16:54:00,0,Normal
TX_949ae355,I_MSHWARI,U_1f93b2,LOAN_DISBURSEMENT,8244.6,2026-03-09 03:10:00,0,Normal
TX_48937c7d,U_1326be,U_6d5193,P2P_TRANSFER,3806.03,2026-03-12 18:29:00,0,Normal
TX_bd2a9463,U_cf66b6,U_1cc6bb,P2P_TRANSFER,13063.39,2026-03-10 19:44:00,0,Normal
TX_7c0e0c11,U_7e04e0,U_935899,P2P_TRANSFER,13174.59,2026-03-14 05:34:00,0,Normal
TX_6f4d866b,U_aa4b82,U_c80b59,P2P_TRANSFER,6075.39,2026-03-08 09:46:00,0,Normal
TX_b4ad7253,U_3e78d5,U_024607,P2P_TRANSFER,11106.28,2026-03-03 04:18:00,0,Normal
TX_06ca5228,U_8d73fa,U_e2760b,P2P_TRANSFER,3189.6,2026-03-02 20:45:00,0,Normal
TX_bc2ad2f6,U_2ad29f,A_9e7250,WITHDRAWAL,8200.37,2026-03-08 04:53:00,0,Normal
TX_28b38ca4,U_d4f9ec,A_a35a57,WITHDRAWAL,7247.95,2026-03-04 17:24:00,0,Normal
TX_848ccba6,U_caed7e,A_3aee75,PAYMENT,8018.11,2026-03-12 08:49:00,0,Normal
TX_99c47550,U_80d64c,U_4c24f8,P2P_TRANSFER,10289.42,2026-03-04 22:58:00,0,Normal
TX_fe93cae0,U_be683c,U_cd2891,P2P_TRANSFER,5101.84,2026-03-10 14:43:00,0,Normal
TX_ea776cfe,I_MSHWARI,U_bed59a,LOAN_DISBURSEMENT,611.02,2026-03-08 22:23:00,0,Normal
TX_7fb9a853,U_3b13f1,U_d63f8e,P2P_TRANSFER,1347.59,2026-03-10 14:58:00,0,Normal
TX_994decf1,U_b3ba42,U_bccf50,P2P_TRANSFER,12086.04,2026-03-07 17:15:00,0,Normal
TX_fa9be182,I_MSHWARI,U_95b02e,LOAN_DISBURSEMENT,6220.54,2026-03-10 08:41:00,0,Normal
TX_52d16ce9,U_9964da,A_db83b4,PAYMENT,5325.5,2026-03-14 10:23:00,0,Normal
TX_c237968c,U_f22f32,U_3de761,P2P_TRANSFER,13528.75,2026-03-11 17:48:00,0,Normal
TX_2e928c69,U_dfa8da,U_54fca2,P2P_TRANSFER,782.4,2026-03-09 20:33:00,0,Normal
TX_187fd128,U_1e2d9d,A_113f20,WITHDRAWAL,12237.41,2026-03-12 08:33:00,0,Normal
TX_7b2fb655,U_2a59f6,A_649134,PAYMENT,4398.28,2026-03-11 17:18:00,0,Normal
TX_36879abe,U_e29b62,A_c1544d,PAYMENT,13802.43,2026-03-01 07:28:00,0,Normal
TX_a0ce62dd,U_2a76d6,A_7cf8ea,PAYMENT,170.99,2026-03-10 13:24:00,0,Normal
TX_0b868698,U_a3f292,A_1b2793,PAYMENT,5313.32,2026-03-12 17:25:00,0,Normal
TX_cd7cf36c,U_63bf28,U_2170be,P2P_TRANSFER,11679.73,2026-03-02 01:12:00,0,Normal
TX_6268139a,U_63ce0d,U_fb4086,P2P_TRANSFER,14604.68,2026-03-09 22:56:00,0,Normal
TX_fe831a76,I_MSHWARI,U_f7c620,LOAN_DISBURSEMENT,10413.05,2026-03-08 13:10:00,0,Normal
TX_fdbdedf5,U_99bff7,U_4b82a6,P2P_TRANSFER,1466.33,2026-03-11 08:46:00,0,Normal
TX_d5738011,U_ede874,U_0bb25f,P2P_TRANSFER,10193.38,2026-03-09 20:53:00,0,Normal
TX_52f67519,U_b97079,A_e5d764,PAYMENT,11726.04,2026-03-01 10:54:00,0,Normal
TX_fe36c39e,I_FULIZA,U_970b25,LOAN_DISBURSEMENT,14012.57,2026-03-07 06:44:00,0,Normal
TX_623a36c3,I_FULIZA,U_2f1956,LOAN_DISBURSEMENT,12812.59,2026-03-13 22:32:00,0,Normal
TX_676f9cd1,U_c48631,A_2aaffc,WITHDRAWAL,14540.77,2026-03-10 19:50:00,0,Normal
TX_66a37856,U_52b418,U_04ba5e,P2P_TRANSFER,7945.82,2026-03-13 05:38:00,0,Normal
TX_13959fe4,I_FULIZA,U_d068ef,LOAN_DISBURSEMENT,9471.04,2026-03-07 03:29:00,0,Normal
TX_2dbe01dd,U_ac4f40,A_f94cd5,PAYMENT,2298.69,2026-03-13 05:51:00,0,Normal
TX_8ec2f505,U_fb8425,A_4ced09,WITHDRAWAL,3159.24,2026-03-14 16:26:00,0,Normal
TX_82aabdd4,U_c404ec,A_577a0e,WITHDRAWAL,11789.24,2026-03-14 01:39:00,0,Normal
TX_3051a293,U_2fe969,U_ded362,P2P_TRANSFER,13534.19,2026-03-06 07:03:00,0,Normal
TX_362dea68,U_573e8d,A_d132e0,WITHDRAWAL,9390.56,2026-03-14 00:55:00,0,Normal
TX_f3dfdb00,U_96b715,U_6716d4,P2P_TRANSFER,13424.52,2026-03-01 12:44:00,0,Normal
TX_ed841d72,U_c35589,U_6075ec,P2P_TRANSFER,11185.77,2026-03-04 11:11:00,0,Normal
TX_7034d8e4,U_8063fd,A_63553a,WITHDRAWAL,8016.55,2026-03-11 10:09:00,0,Normal
TX_f18b96c8,U_68c388,U_464f3b,P2P_TRANSFER,12484.96,2026-03-04 15:56:00,0,Normal
TX_ec0ec33a,U_917d15,A_e7a5f3,PAYMENT,9698.41,2026-03-10 09:27:00,0,Normal
TX_1b94eaa4,U_bf3e17,U_a1712d,P2P_TRANSFER,3248.1,2026-03-05 07:56:00,0,Normal
TX_2e9ff210,I_FULIZA,U_9d85b9,LOAN_DISBURSEMENT,10604.18,2026-03-12 23:15:00,0,Normal
TX_eb2b14f6,I_MSHWARI,U_9cba39,LOAN_DISBURSEMENT,8460.98,2026-03-13 14:45:00,0,Normal
TX_8a791184,I_FULIZA,U_a08648,LOAN_DISBURSEMENT,11538.29,2026-03-13 19:44:00,0,Normal
TX_19882ae8,I_MSHWARI,U_ba516c,LOAN_DISBURSEMENT,2405.16,2026-03-03 20:19:00,0,Normal
TX_1f795114,U_9741f4,A_3ffac6,PAYMENT,13098.92,2026-03-02 04:15:00,0,Normal
TX_923e6752,U_ca53b3,U_aaf55b,P2P_TRANSFER,9300.9,2026-03-13 04:11:00,0,Normal
TX_56802690,U_a9b4c3,U_6befe9,P2P_TRANSFER,2967.12,2026-03-01 06:15:00,0,Normal
TX_cfb4d99c,I_FULIZA,U_53540c,LOAN_DISBURSEMENT,2655.83,2026-03-02 14:23:00,0,Normal
TX_b4a54b42,U_4afdc6,A_e6837e,WITHDRAWAL,3141.46,2026-03-01 20:35:00,0,Normal
TX_222928cf,U_ecbc3d,A_2f99d1,PAYMENT,4795.63,2026-03-02 23:03:00,0,Normal
TX_1a2cc3c4,U_19c3ee,U_98d8ad,P2P_TRANSFER,10227.78,2026-03-05 13:31:00,0,Normal
TX_82977cf2,U_58cabd,A_922cd9,PAYMENT,8483.19,2026-03-12 12:30:00,0,Normal
TX_39a86667,U_20dabe,A_33c405,PAYMENT,2916.93,2026-03-12 03:35:00,0,Normal
TX_1e3e4884,U_c5a88c,A_8b497c,WITHDRAWAL,11535.54,2026-03-03 16:02:00,0,Normal
TX_feb71324,U_6e4f74,U_b0d8a9,P2P_TRANSFER,5180.28,2026-03-11 21:15:00,0,Normal
TX_c590d9ad,U_0c64e1,U_c620d4,P2P_TRANSFER,5185.94,2026-03-14 17:11:00,0,Normal
TX_aa0295a0,U_ed476d,U_27081f,P2P_TRANSFER,5066.33,2026-03-05 07:13:00,0,Normal
TX_33627bd5,U_682922,U_fa3860,P2P_TRANSFER,9437.5,2026-03-06 18:53:00,0,Normal
TX_221dd40c,U_a48d63,A_db83b4,PAYMENT,5588.97,2026-03-12 09:23:00,0,Normal
TX_8cdb6518,U_95781f,U_0eb4c6,P2P_TRANSFER,9741.75,2026-03-08 16:21:00,0,Normal
TX_e90a3a4d,I_MSHWARI,U_09f767,LOAN_DISBURSEMENT,701.57,2026-03-13 03:37:00,0,Normal
TX_3bedb3e6,U_b70110,U_e4e08f,P2P_TRANSFER,2384.88,2026-03-05 17:44:00,0,Normal
TX_5a723e0f,U_713515,A_6508fe,PAYMENT,1803.77,2026-03-14 09:42:00,0,Normal
TX_5a6d96bd,U_806673,A_e0ce2f,PAYMENT,11184.3,2026-03-01 15:45:00,0,Normal
TX_c646e340,U_43627d,A_f94cd5,PAYMENT,5873.75,2026-03-06 13:21:00,0,Normal
TX_77951df6,U_4daa16,U_7e36bf,P2P_TRANSFER,9940.98,2026-03-05 20:01:00,0,Normal
TX_7b9e20ef,U_d00800,A_1b039b,WITHDRAWAL,3352.22,2026-03-08 10:08:00,0,Normal
TX_d79472c2,U_f7c579,A_649134,PAYMENT,7850.66,2026-03-12 11:05:00,0,Normal
TX_df753302,U_c9528d,A_8af3e7,PAYMENT,9262.29,2026-03-05 21:52:00,0,Normal
TX_ba89660c,U_e38310,A_1e9f26,PAYMENT,12541.71,2026-03-11 02:05:00,0,Normal
TX_ffe289ee,U_bab0f2,A_6fcd76,PAYMENT,12534.77,2026-03-12 03:28:00,0,Normal
TX_edf10522,U_9dbc81,A_c14fbe,PAYMENT,14780.98,2026-03-05 10:53:00,0,Normal
TX_77a56f71,U_2fda6c,A_fe15f3,WITHDRAWAL,12853.38,2026-03-13 19:42:00,0,Normal
TX_84f6a76d,U_77ebae,A_2c11c2,PAYMENT,10318.25,2026-03-14 03:09:00,0,Normal
TX_ac79b592,U_fcc5b6,A_2d7045,WITHDRAWAL,10579.24,2026-03-10 18:15:00,0,Normal
TX_12bd82e7,I_FULIZA,U_bdf38d,LOAN_DISBURSEMENT,13313.1,2026-03-09 00:53:00,0,Normal
TX_81acefdb,U_a6946c,U_d4f14c,P2P_TRANSFER,2699.98,2026-03-13 12:38:00,0,Normal
TX_83411d2d,U_cc6995,U_957d79,P2P_TRANSFER,11754.82,2026-03-09 02:28:00,0,Normal
TX_bde13397,U_5c9043,U_3afe4a,P2P_TRANSFER,11108.28,2026-03-10 05:01:00,0,Normal
TX_20c5a753,U_11d447,U_4b3e6d,P2P_TRANSFER,13115.33,2026-03-13 10:01:00,0,Normal
TX_0c38e66e,U_a85400,U_a2515d,P2P_TRANSFER,11311.17,2026-03-07 06:57:00,0,Normal
TX_d24f3e98,U_ab0591,A_d67e11,PAYMENT,4300.78,2026-03-08 23:07:00,0,Normal
TX_c44f5e2f,U_3314e0,A_e90e42,PAYMENT,9353.81,2026-03-12 04:34:00,0,Normal
TX_d95e681a,U_9cedf2,A_c63f88,PAYMENT,8975.24,2026-03-01 17:55:00,0,Normal
TX_790e852b,U_c410d5,U_37f2b4,P2P_TRANSFER,12748.06,2026-03-10 10:30:00,0,Normal
TX_1d480e24,U_f7c579,U_3ef1ba,P2P_TRANSFER,10264.56,2026-03-06 21:16:00,0,Normal
TX_775d648c,I_MSHWARI,U_c30db2,LOAN_DISBURSEMENT,215.52,2026-03-07 16:18:00,0,Normal
TX_dd9a757f,U_8a0b2e,U_8f9b97,P2P_TRANSFER,12749.23,2026-03-05 17:21:00,0,Normal
TX_8035678b,U_f91a66,U_ecaac3,P2P_TRANSFER,7658.09,2026-03-01 05:52:00,0,Normal
TX_b7abc8be,U_b620a1,U_b8316f,P2P_TRANSFER,7591.83,2026-03-12 21:02:00,0,Normal
TX_fe1a46de,U_6adaf6,A_e5d764,PAYMENT,9158.09,2026-03-08 08:07:00,0,Normal
TX_33d2afee,U_250fab,A_d40f55,WITHDRAWAL,14625.51,2026-03-11 15:35:00,0,Normal
TX_48d060d3,U_721275,U_a04b0e,P2P_TRANSFER,365.81,2026-03-02 21:35:00,0,Normal
TX_e27c5b6d,U_cf1c65,U_24b28c,P2P_TRANSFER,14421.36,2026-03-07 02:38:00,0,Normal
TX_c5613426,U_3ffc64,U_b1b23e,P2P_TRANSFER,7698.82,2026-03-06 09:36:00,0,Normal
TX_22b9a4d9,U_c9a68e,A_e38ef2,PAYMENT,13025.38,2026-03-14 02:10:00,0,Normal
TX_b3ef4d86,U_9deb67,U_08b12c,P2P_TRANSFER,1975.04,2026-03-10 15:15:00,0,Normal
TX_04d79cce,I_MSHWARI,U_f4d897,LOAN_DISBURSEMENT,12094.93,2026-03-14 03:40:00,0,Normal
TX_7aaf22ce,U_abcc55,U_c8391f,P2P_TRANSFER,6125.6,2026-03-09 23:59:00,0,Normal
TX_7defc2ac,U_e36cfa,A_e294ae,PAYMENT,14738.63,2026-03-06 04:46:00,0,Normal
TX_f90451f5,I_MSHWARI,U_07e66c,LOAN_DISBURSEMENT,14992.25,2026-03-11 21:24:00,0,Normal
TX_0a925d79,U_0673df,U_2d1079,P2P_TRANSFER,13956.96,2026-03-08 18:33:00,0,Normal
TX_30260189,U_9df365,A_d0dc03,PAYMENT,10808.53,2026-03-11 18:11:00,0,Normal
TX_6e0b90a7,U_08958c,U_471462,P2P_TRANSFER,11280.63,2026-03-14 00:53:00,0,Normal
TX_67a7c514,U_7c4e6f,A_21762b,PAYMENT,14098.99,2026-03-02 00:05:00,0,Normal
TX_036638d9,I_FULIZA,U_275f36,LOAN_DISBURSEMENT,7504.89,2026-03-14 12:51:00,0,Normal
TX_1e17e3b6,U_9c7823,U_8d234d,P2P_TRANSFER,3691.53,2026-03-10 23:45:00,0,Normal
TX_1be56c9d,U_682046,A_e6837e,WITHDRAWAL,2768.14,2026-03-13 12:01:00,0,Normal
TX_e780bf44,U_3b2819,A_e0ce2f,PAYMENT,5609.47,2026-03-08 07:39:00,0,Normal
